;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_30C_1H_2PP_3Co_10.data;;47;4661;3757;3000;3601.05;3522.67;78.3611;7143;6783;0.19395
Inst_6P_30C_1H_2PP_3Co_12.data;;56;4498;2921;1981;3601.04;3531.73;69.2896;6460;7243;0.3506
Inst_6P_30C_1H_2PP_3Co_13.data;;102;3921;2555;1820;3601.06;3535.08;65.9514;13517;4377;0.348381
Inst_6P_30C_1H_2PP_3Co_14.data;;23;5159;3054;2359;3601.04;3523.99;77.0313;4097;7740;0.408025
Inst_6P_30C_1H_2PP_3Co_1.data;;14;3657;2816;2005;3601.03;3556.04;44.9779;4346;6835;0.22997
Inst_6P_30C_1H_2PP_3Co_2.data;;106;4670;3479;2728;3601.05;3549.73;51.2951;8070;7026;0.255032
Inst_6P_30C_1H_2PP_3Co_4.data;;63;4476;3267;2254;3601.04;3589.61;11.4139;5408;6587;0.270107
Inst_6P_30C_1H_2PP_3Co_6.data;;24;3746;2865;1922;3601.04;3567.07;33.9519;6189;6985;0.235184
Inst_6P_30C_1H_2PP_3Co_7.data;;35;4157;2575;1872;3601.03;3574.43;26.5885;3448;4272;0.380563
Inst_6P_30C_1H_2PP_3Co_8.data;;49;4076;2585;1839;3601.03;3585.54;15.4814;2742;5101;0.3658
