;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_1H_2PP_2Co_10.data;;132;5627;3652;2453;3601.23;3561.7;39.361;174407;74943;0.350986
Inst_4P_30C_1H_2PP_2Co_12.data;;138;6635;4043;2491;3601.21;3530.31;70.7152;258398;120148;0.390656
Inst_4P_30C_1H_2PP_2Co_14.data;;154;16115;4083;2888;3601.24;3527.73;73.3136;260395;79214;0.746634
Inst_4P_30C_1H_2PP_2Co_15.data;;505;6751;2820;2784;3607.85;3560.46;47.0201;319821;0;0.582284
Inst_4P_30C_1H_2PP_2Co_19.data;;154;6210;4100;2958;3601.22;3528.73;72.2953;213507;92823;0.339775
Inst_4P_30C_1H_2PP_2Co_1.data;;122;6485;4011;2555;3601.21;3573.59;27.4701;198267;67341;0.381496
Inst_4P_30C_1H_2PP_2Co_21.data;;122;5188;3363;2254;3601.21;3566.5;34.5611;154076;69899;0.351773
Inst_4P_30C_1H_2PP_2Co_22.data;;129;5977;3329;2248;3601.17;3549.53;51.4951;179870;64410;0.443032
Inst_4P_30C_1H_2PP_2Co_6.data;;131;16810;4359;2721;3601.24;3573.51;27.543;222788;109614;0.74069
Inst_4P_30C_1H_2PP_2Co_9.data;;148;5585;3671;2373;3601.28;3532.04;69.0412;187152;116806;0.342704
