;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_1H_2PP_2Co_10.data;;74;5150;3749;2453;3601.06;3595.86;5.17746;15349;8313;0.272039
Inst_4P_30C_1H_2PP_2Co_12.data;;99;5010;4004;2491;3601.05;3586.33;14.6819;19890;17584;0.200798
Inst_4P_30C_1H_2PP_2Co_14.data;;287;5030;4579;2888;3601.1;3569.03;32.0039;40482;18014;0.089662
Inst_4P_30C_1H_2PP_2Co_15.data;UNF;122;16655;2942;2935;150.008;141.754;8.22678;28001;0;0.823356
Inst_4P_30C_1H_2PP_2Co_19.data;;241;4960;4255;2958;3601.1;3563.61;37.4283;39503;30543;0.142137
Inst_4P_30C_1H_2PP_2Co_1.data;;114;5014;4421;2555;3601.05;3593.39;7.62894;19209;8997;0.118269
Inst_4P_30C_1H_2PP_2Co_21.data;;167;4343;3508;2254;3601.06;3584.51;16.5005;24891;20875;0.192263
Inst_4P_30C_1H_2PP_2Co_22.data;;78;4799;3338;2248;3601.06;3593.66;7.37422;15710;8740;0.304438
Inst_4P_30C_1H_2PP_2Co_6.data;;135;5205;4771;2721;3601.05;3589.89;11.1266;18496;18242;0.0833814
Inst_4P_30C_1H_2PP_2Co_9.data;;148;4430;3765;2373;3601.06;3584.44;16.5697;24738;16490;0.150113
