;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_1H_2PP_2Co_10.data;;22;10000;3221;2462;3601.09;3596.64;4.43387;7353;6049;0.6779
Inst_4P_30C_1H_2PP_2Co_12.data;;55;10000;3553;2517;3608.49;3594.79;13.6674;21954;7768;0.6447
Inst_4P_30C_1H_2PP_2Co_14.data;;26;10000;4048;2898;3601.06;3595.98;5.05628;13655;7614;0.5952
Inst_4P_30C_1H_2PP_2Co_15.data;;41;10000;3876;2942;3601.05;3588.36;12.6674;16520;7429;0.6124
Inst_4P_30C_1H_2PP_2Co_19.data;;96;10000;3833;2967;3601.11;3579.89;21.1621;26988;10995;0.6167
Inst_4P_30C_1H_2PP_2Co_1.data;;26;10000;3546;2566;3601.07;3595.97;5.07612;11950;5631;0.6454
Inst_4P_30C_1H_2PP_2Co_21.data;;31;10000;3178;2260;3601.07;3594.37;6.68007;10118;6278;0.6822
Inst_4P_30C_1H_2PP_2Co_22.data;;46;10000;3050;2248;3601.06;3589.86;11.1658;18555;4855;0.695
Inst_4P_30C_1H_2PP_2Co_6.data;;34;10000;3925;2725;3601.11;3595.19;5.89238;17376;7740;0.6075
Inst_4P_30C_1H_2PP_2Co_9.data;;78;10000;3353;2373;3601.12;3585.99;15.0875;17019;11330;0.6647
