;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;;88;3175;3102;1805;3601.04;3595.44;5.57417;6978;17344;0.0229921
Inst_2P_30C_2H_2PP_2Co_11.data;;90;3233;3072;1518;3601.06;3595.25;5.78575;9426;17493;0.0497989
Inst_2P_30C_2H_2PP_2Co_14.data;;94;3218;3138;1764;3601.04;3593.53;7.49085;8334;21090;0.0248602
Inst_2P_30C_2H_2PP_2Co_16.data;;97;3220;3126;1385;3609.36;3602.84;6.50103;7706;15349;0.0291925
Inst_2P_30C_2H_2PP_2Co_1.data;;87;3066;2913;1699;3601.05;3593.33;7.69388;9645;22305;0.0499022
Inst_2P_30C_2H_2PP_2Co_2.data;;67;2950;2868;1424;3601.05;3596.57;4.45863;6150;14480;0.0277966
Inst_2P_30C_2H_2PP_2Co_3.data;;73;3378;3294;1681;3601.03;3595.93;5.08046;5723;14265;0.0248668
Inst_2P_30C_2H_2PP_2Co_4.data;;95;2883;2604;1443;3601.05;3573.94;27.087;8061;24595;0.0967742
Inst_2P_30C_2H_2PP_2Co_5.data;;70;2691;2611;1513;3601.05;3596.18;4.84723;4320;12774;0.0297287
Inst_2P_30C_2H_2PP_2Co_7.data;;87;3247;3008;1517;3601.05;3596.28;4.74747;8479;17656;0.0736064
