;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;OPT;23;3175;3175;1805;3261.52;3215.55;45.9341;11717;17206;0
Inst_2P_30C_2H_2PP_2Co_11.data;;38;3235;3078;1518;3601.08;3518.63;82.4062;17973;19563;0.0485317
Inst_2P_30C_2H_2PP_2Co_14.data;;28;3226;3146;1764;3601.05;3541.22;59.8084;9360;18402;0.0247985
Inst_2P_30C_2H_2PP_2Co_16.data;OPT;43;3220;3220;1385;2324.46;2241.16;83.271;9420;17155;0
Inst_2P_30C_2H_2PP_2Co_1.data;;43;3100;2944;1699;3601.13;3525.52;75.4985;16615;21640;0.0503226
Inst_2P_30C_2H_2PP_2Co_2.data;OPT;45;2950;2950;1424;2852.33;2785.93;66.371;10455;18075;0
Inst_2P_30C_2H_2PP_2Co_3.data;;61;3378;3294;1681;3601.07;3514.32;86.7177;10338;19215;0.0248668
Inst_2P_30C_2H_2PP_2Co_4.data;;33;2904;2623;1443;3601.13;3529.89;71.2006;12160;20873;0.0967631
Inst_2P_30C_2H_2PP_2Co_5.data;;24;2691;2624;1513;3601.04;3563.68;37.3373;10107;13893;0.0248978
Inst_2P_30C_2H_2PP_2Co_7.data;;35;3146;2979;1517;3601.2;3534.35;66.8087;17068;21970;0.0530833
