;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;OPT;51;3175;3175;1805;897.842;891.548;6.26912;11752;17406;0
Inst_2P_30C_2H_2PP_2Co_11.data;;45;3233;3072;1518;3601.03;3596.36;4.65313;11283;14898;0.0497989
Inst_2P_30C_2H_2PP_2Co_14.data;;50;3218;3140;1764;3601.04;3591.03;9.98954;9534;17514;0.0242387
Inst_2P_30C_2H_2PP_2Co_16.data;OPT;49;3220;3220;1385;1413.38;1404.45;8.91412;11604;15289;0
Inst_2P_30C_2H_2PP_2Co_1.data;;55;3066;2942;1699;3601.05;3588.98;12.0434;17690;21140;0.0404436
Inst_2P_30C_2H_2PP_2Co_2.data;OPT;48;2950;2950;1424;1901.48;1895.27;6.18807;10145;16125;0
Inst_2P_30C_2H_2PP_2Co_3.data;;48;3378;3294;1681;3601.02;3596.09;4.9119;6053;11025;0.0248668
Inst_2P_30C_2H_2PP_2Co_4.data;;46;2904;2685;1443;3601.1;3591.59;9.48677;13771;21002;0.0754132
Inst_2P_30C_2H_2PP_2Co_5.data;;38;2691;2629;1513;3601.04;3593.22;7.80365;7923;11844;0.0230398
Inst_2P_30C_2H_2PP_2Co_7.data;;54;3217;3035;1517;3601.08;3594.12;6.94479;14119;18979;0.0565744
