;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_30C_2H_2PP_3Co_10.data;;49;3658;2486;1865;3601.59;2918.74;682.828;2678;9164;0.320394
Inst_6P_30C_2H_2PP_3Co_12.data;;68;3735;2623;1899;3601.05;2977.82;623.201;3808;12192;0.297724
Inst_6P_30C_2H_2PP_3Co_13.data;;85;4379;3169;2399;3601.05;3250.05;350.962;5430;15028;0.276319
Inst_6P_30C_2H_2PP_3Co_14.data;;62;4016;2702;2020;3601.07;3261.84;339.204;3608;11565;0.327191
Inst_6P_30C_2H_2PP_3Co_1.data;;68;3747;2589;1915;3601.06;3361.23;239.802;4670;15294;0.309047
Inst_6P_30C_2H_2PP_3Co_2.data;;67;3942;2747;2171;3601.05;3051.62;549.402;4339;12594;0.303146
Inst_6P_30C_2H_2PP_3Co_3.data;;89;3726;2653;1904;3601.06;3319.21;281.817;6276;14707;0.287976
Inst_6P_30C_2H_2PP_3Co_4.data;;80;4099;2947;2104;3601.04;3487.22;113.8;4865;10663;0.281044
Inst_6P_30C_2H_2PP_3Co_7.data;;75;3911;2838;2170;3603.25;2623.85;979.366;4286;12459;0.274354
Inst_6P_30C_2H_2PP_3Co_8.data;;71;4434;3144;2456;3601.07;3218.14;382.898;4220;15453;0.290934
