;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_1H_2PP_3Co_11.data;;27;2892;2597;1093;3601.03;3599.36;1.65407;9448;11449;0.102006
Inst_6P_20C_1H_2PP_3Co_12.data;;30;4158;1557;1557;3601.02;3600.34;0.678109;4730;1264;0.625541
Inst_6P_20C_1H_2PP_3Co_15.data;;19;3795;2092;1222;3601.03;3599.98;1.03586;7744;12707;0.448748
Inst_6P_20C_1H_2PP_3Co_16.data;;23;3984;2471;1437;3601.03;3599.64;1.37999;10474;8516;0.379769
Inst_6P_20C_1H_2PP_3Co_1.data;;27;4846;1621;1621;3601.03;3600.25;0.771449;8251;1141;0.665497
Inst_6P_20C_1H_2PP_3Co_2.data;;19;3420;1866;1055;3601.03;3599.69;1.32598;9886;11867;0.454386
Inst_6P_20C_1H_2PP_3Co_3.data;;22;2987;2244;1048;3601.04;3599.83;1.19301;10199;12656;0.248745
Inst_6P_20C_1H_2PP_3Co_4.data;;21;4349;2622;1315;3601.03;3599.69;1.3301;10374;9995;0.397103
Inst_6P_20C_1H_2PP_3Co_5.data;;34;4111;2845;1714;3601.04;3597.46;3.56007;18686;10011;0.307954
Inst_6P_20C_1H_2PP_3Co_8.data;;37;3954;2557;1478;3601.04;3599.77;1.25366;10282;12036;0.353313
