;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_1H_2PP_3Co_11.data;;36;2795;2516;1059;3601.05;3596.86;4.17402;11676;13796;0.0998211
Inst_6P_20C_1H_2PP_3Co_12.data;;36;3320;2722;1557;3601.05;3592.03;8.99427;26580;18654;0.18012
Inst_6P_20C_1H_2PP_3Co_15.data;;37;2764;2342;1222;3601.04;3594.25;6.76845;19222;21730;0.152677
Inst_6P_20C_1H_2PP_3Co_16.data;;35;3111;2801;1424;3601.03;3595.93;5.08371;14356;15620;0.0996464
Inst_6P_20C_1H_2PP_3Co_1.data;;36;3761;3022;1617;3601.05;3597.93;3.10494;14973;16495;0.19649
Inst_6P_20C_1H_2PP_3Co_2.data;;28;2422;2181;1046;3601.03;3596.72;4.28763;15137;13465;0.0995045
Inst_6P_20C_1H_2PP_3Co_3.data;;35;2506;2258;1046;3601.02;3598.48;2.53173;11013;9515;0.0989625
Inst_6P_20C_1H_2PP_3Co_4.data;;42;2983;2688;1315;3601.03;3595.91;5.1009;13405;16978;0.0988937
Inst_6P_20C_1H_2PP_3Co_5.data;;85;3269;2936;1711;3601.05;3585.03;15.9883;28409;16126;0.101866
Inst_6P_20C_1H_2PP_3Co_8.data;;43;3082;2596;1478;3601.07;3595.53;5.52023;15453;13341;0.15769
